Target keyword,Target country,Title,Article status,Original publish date,URL,Original writer/translator,Category,Subcategory,Epic,Persona,Niche persona,Article type
tax accountant ,CA,How to Become a Tax Preparer: Your 2026 Guide,Published,2023-09-07,https://www.coursera.org/ca/articles/tax-accountant,Izea,Business,Finance,"Accountant,Tax Specialist","Starter,Switcher","Considering,Applying",Career Overview
data science internship ,CA,How to Land a Data Science Internship: Your 2026 Guide ,Requires Edits,2024-07-10,https://www.coursera.org/ca/articles/data-science-internship,Izea,Data,"Data Science,Data Analytics",Data Analyst,Starter,Applying,How to (Jobs)
scope creep,GB,Scope Creep: What It Is and How to Prevent It,Published,2022-11-07,https://www.coursera.org/gb/articles/what-is-scope-creep,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Long Explainer
sports management,IN,Your Guide to a Career in Sports Management—What to Expect,Published,2023-10-10,https://www.coursera.org/in/articles/sports-management,Izea,Business,Leadership and Management,,"Switcher,Advancer",Considering,Career Overview
inbound marketing,IN,How to Get Started with Inbound Marketing,Published,2023-04-21,https://www.coursera.org/in/articles/inbound-marketing,Izea,Business,Marketing,,Starter,Considering,How to (Jobs)
machine learning in healthcare,IN,What Is Machine Learning in Healthcare? Applications and Opportunities,Published,2023-10-18,https://www.coursera.org/in/articles/machine-learning-in-health-care,Izea,Data,AI and Machine Learning,Machine Learning Engineer,"Starter,Switcher",Considering,Long Explainer
data analytics lifecycle,IN,The Data Analytics and its Business Benefits,Published,2023-10-23,https://www.coursera.org/in/articles/data-analytics-lifecycle,Izea,Data,Data Analytics,"Data Analyst,Business Analyst","Starter,Switcher",Considering,Long Explainer
how to recover from burnout,US,How to Recover from Burnout,Published,2022-02-24,https://www.coursera.org/articles/how-to-recover-from-burnout,Izea,Career Advice,Career Support,Work-Life Balance,"Starter,Switcher,Advancer",Current,How to (General)
product marketing manager,IN,What Does a Product Marketing Manager Do? 2026 Career Guide,Published,2023-05-02,https://www.coursera.org/in/articles/product-marketing-manager,Izea,Business,"Leadership and Management,Marketing",Marketing Analyst,"Starter,Switcher",Considering,Career Overview
task management,GB,"How to Improve Task Management: Roles, Skills, Tips, and Tools",Published,2024-05-07,https://www.coursera.org/gb/articles/task-management,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Current",How to (Jobs)
sales interview questions,IN,10 Sales Interview Questions and How to Answer Them,Published,2024-02-21,https://www.coursera.org/in/articles/sales-interview-questions,Izea,Business,Sales,"Sales Analyst,Sales Development Representative,Sales Operations Specialist,Sales Representative,Interviews","Starter,Switcher",Applying,Interview Questions
business plan ,CA,Business Plan: What It Is + How to Write One,Published,2024-02-21,https://www.coursera.org/ca/articles/business-plan,Izea,Business,"Business Strategy,Leadership and Management",Business Analyst,"Starter,Switcher",Considering,Long Explainer
content marketing,IN,What Is Content Marketing?,Published,2023-05-09,https://www.coursera.org/in/articles/content-marketing,Izea,Business,Marketing,,Starter,Considering,Long Explainer
pert chart ,CA,PERT Charts: What They Are and How to Use Them,Published,2024-02-21,https://www.coursera.org/ca/articles/pert-chart,Izea,Business,Leadership and Management,Project Manager,"Advancer,Switcher",Considering,Long Explainer
big data engineer salary,CA,Big Data Engineer Salary: Your 2026 Pay Guide,Published,2024-12-04,https://www.coursera.org/ca/articles/big-data-engineer-salary,Izea,Data,Data Engineering,Data Engineer,"Starter,Switcher",Considering,Salary Guide
ecommerce platforms,GB,E-Commerce Platforms: How They Compare + How to Choose One,Published,2023-08-24,https://www.coursera.org/gb/articles/ecommerce-platforms,Izea,Business,Marketing,,Starter,Considering,Comparison
b2b marketing,GB,B2B Marketing: Definition + Strategies,Published,2023-08-28,https://www.coursera.org/gb/articles/b2b-marketing,Izea,Business,Marketing,Digital Marketer,"Starter,Switcher",Considering,Long Explainer
marketing analyst,GB,What Is a Marketing Analyst? And How to Become One,Published,2023-08-25,https://www.coursera.org/gb/articles/marketing-analyst,Izea,Business,Marketing,Marketing Analyst,"Starter,Switcher",Considering,Career Overview
big data technologies,IN,4 Types of Big Data Technologies (+ Management Tools),Published,2024-07-18,https://www.coursera.org/in/articles/big-data-technologies,Izea,Data,Networks and Security,"Data Analyst,Data Engineer","Starter,Switcher","Considering,Applying",
passive income,GB,11 Passive Income Ideas to Increase Your Cash Flow,Published,2023-07-31,https://www.coursera.org/gb/articles/passive-income,Izea,Business,Entrepreneurship,Entrepreneur,"Starter,Switcher",Considering,
ai engineer,IN,Who Is an AI Engineer? (And How to Become One),Published,2024-07-18,https://www.coursera.org/in/articles/ai-engineer,Izea,Data,AI and Machine Learning,Machine Learning Engineer,"Starter,Switcher",Considering,Career Overview
big data engineer,IN,Who Is a Big Data Engineer? A 2026 Career Guide,Published,2024-07-19,https://www.coursera.org/in/articles/big-data-engineer,Izea,Data,Career Path Planning,Data Engineer,Starter,"Considering,Applying",Career Overview
pmi certification,CA,10 PMI Certifications to Level Up Your Project Management Career (2026),Published,2024-07-04,https://www.coursera.org/ca/articles/a-guide-to-pmi-certifications,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Applying",Certification
sql developer,IN,"What Does an SQL Developer Do? Role, Salary, and Skills",Published,2025-01-16,https://www.coursera.org/in/articles/sql-developer,Izea,Data,Career Path Planning,"DevOps Engineer,Software Engineer","Starter,Switcher","Considering,Applying",Long Explainer
nursing informatics,US,Nursing Informatics: What It Is and How to Get Started,Published,2022-09-16,https://www.coursera.org/articles/nursing-informatics,Izea,Health,"Health Informatics,Patient Care,Leadership and Management",Nurse,"Starter,Switcher",Considering,Long Explainer
salesforce certification,GB,What Is a Salesforce Certification? Discover the Certifications Offered + How to Get One,Published,2024-05-07,https://www.coursera.org/gb/articles/salesforce-certification,Izea,Business,Sales,"Sales Development Representative,Sales Representative","Starter,Switcher","Considering,Applying",Certification
conflict management,GB,"Conflict Management: Definition, Strategies, and Styles",Published,2024-05-07,https://www.coursera.org/gb/articles/conflict-management,Izea,Business,Leadership and Management,,Advancer,Current,Long Explainer
ecommerce seo,GB,E-commerce SEO: How to Drive More Traffic to Your Online Store,Published,2023-08-24,https://www.coursera.org/gb/articles/ecommerce-seo,Izea,Business,"Marketing,Entrepreneurship","Entrepreneur,Digital Marketer","Starter,Switcher",Considering,Long Explainer
customer segmentation,GB,What Is Customer Segmentation? + How to Reach Customer Segments,Published,2024-05-07,https://www.coursera.org/gb/articles/customer-segmentation,Izea,Business,Marketing,Marketing Analyst,,Current,Long Explainer
management consulting,GB,How to Become a Management Consultant (And What Is Consulting),Published,2024-05-07,https://www.coursera.org/gb/articles/management-consulting,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,How to (Jobs)
data wrangling,GB,What Is Data Wrangling and Why Does It Matter?,Published,2023-08-29,https://www.coursera.org/gb/articles/data-wrangling,Izea,Data,Data Analytics,"Data Analyst,Data Scientist","Starter,Switcher",Considering,Long Explainer
guerilla marketing,GB,What Is Guerrilla Marketing? 4 Types and Examples to Delight Consumers,Published,2023-08-25,https://www.coursera.org/gb/articles/guerrilla-marketing,Izea,Business,Marketing,"Digital Marketer,Social Media Marketer","Starter,Advancer","Considering,Current",Long Explainer
how to create a facebook business page ,CA,How to Create a Facebook Business Page: Step-By-Step Guide,Published,2024-02-21,https://www.coursera.org/ca/articles/how-to-create-a-facebook-business-page,Izea,Business,"Marketing,Entrepreneurship","Entrepreneur,Social Media Marketer",Starter,Considering,How to (General)
data architect ,CA,What Does a Data Architect Do? A Career Guide,Published,2024-07-08,https://www.coursera.org/ca/articles/data-architect,Izea,Data,Data Engineering,Data Engineer,"Advancer,Switcher",Considering,Career Overview
digital marketing jobs,GB,9 Digital Marketing Jobs + How to Get One,Published,2023-01-30,https://www.coursera.org/gb/articles/digital-marketing-jobs,Izea,Business,Marketing,Digital Marketer,"Starter,Switcher",Considering,Career Options
display advertising,IN,"Display Advertising Guide: Types, Best Practices, and How to Start",Published,2025-01-16,https://www.coursera.org/in/articles/display-advertising,Izea,Business,Marketing,Digital Marketer,"Starter,Switcher","Considering,Current",Long Explainer
business intelligence analyst,GB,What Is a Business Intelligence Analyst? Making Data-Driven Business Decisions,Published,2024-05-07,https://www.coursera.org/gb/articles/business-intelligence-analysts-what-they-are-and-how-to-become-one,Izea,Data,Data Analytics,Data Analyst,"Starter,Switcher,Advancer",Considering,Career Overview
staff accountant ,CA,What Is a Staff Accountant? And How to Become One,Published,2024-12-02,https://www.coursera.org/ca/articles/staff-accountant,Izea,Business,Finance,Accountant,"Starter,Switcher",Considering,Career Overview
resource management ,CA,"What Is Resource Management? Types, Importance, Stages, Careers",Published,2024-02-21,https://www.coursera.org/ca/articles/resource-management,Izea,Business,Leadership and Management,Human Resources Specialist,"Starter,Switcher",Considering,Long Explainer
digital twin,IN,"What Is a Digital Twin? Definition, Types, and Uses",Published,2024-12-20,https://www.coursera.org/in/articles/digital-twin,Izea,Business,Business Strategy,Supply Chain Analyst,"Starter,Switcher",Considering,Long Explainer
social media manager ,CA,What's a Social Media Manager? And How to Become One,Requires Edits,2024-11-13,https://www.coursera.org/ca/articles/how-to-become-a-social-media-manager,Izea,Business,Marketing,Social Media Marketer,Starter,Considering,How to (Jobs)
management science ,CA,What Is Management Science? + How to Enter This Field,Requires Edits,2024-05-02,https://www.coursera.org/ca/articles/management-science,Izea,Business,Leadership and Management,"Project Manager,Product Manager",Advancer,Considering,Career Options
what is erp,GB,What Is Enterprise Resource Planning (ERP)?,Published,2024-05-07,https://www.coursera.org/gb/articles/what-is-erp,Izea,Business,Business Strategy,Supply Chain Analyst,"Starter,Switcher",Considering,Long Explainer
sales forecasting,IN,Sales Forecasting: A Guide to Grow Your Business,Published,2025-01-16,https://www.coursera.org/in/articles/sales-forecasting,Izea,Business,Sales,Sales Analyst,"Starter,Switcher",Considering,Long Explainer
recruiter,GB,What Is a Recruiter?,Published,2024-05-10,https://www.coursera.org/gb/articles/recruiter,Izea,Business,Leadership and Management,Human Resources Specialist,"Starter,Switcher","Considering,Applying",Career Overview
how to become a data scientist,IN,How to Become a Data Scientist,Published,2023-05-12,https://www.coursera.org/in/articles/how-to-become-a-data-scientist,Izea,Data,Data Science,Data Scientist,"Starter,Switcher",Considering,How to (Jobs)
data science jobs,CA,Data Science Jobs Guide: Resources for a Career in Tech,Published,2024-05-02,https://www.coursera.org/ca/articles/data-science-jobs,Izea,Data,"Data Science,AI and Machine Learning,Data Engineering","Data Scientist,Machine Learning Engineer","Switcher,Starter","Considering,Applying",Career Options
data analyst interview questions,GB,15 Data Analyst Interview Questions and Answers,Published,2023-08-16,https://www.coursera.org/gb/articles/data-analyst-interview-questions-and-answers,Izea,Data,Data Analytics,"Data Analyst,Interviews","Starter,Switcher",Applying,Interview Questions
competitor analysis,IN,What Is Competitor Analysis? Definition + Step-by-Step Guide,Published,2023-05-31,https://www.coursera.org/in/articles/competitor-analysis,Izea,Business,"Marketing,Business Strategy","Digital Marketer,Marketing Analyst","Starter,Switcher",Considering,Long Explainer
project management skills,CA,11 Key Project Management Skills,Requires Edits,2024-05-08,https://www.coursera.org/ca/articles/project-management-skills,Izea,Business,"Leadership and Management,Skills","Job Skills,Project Manager","Starter,Switcher",Considering,Skills
content strategy,GB,What Is Content Strategy? + How to Create Yours,Published,2023-08-24,https://www.coursera.org/gb/articles/content-strategy,Izea,Business,Marketing,"Digital Marketer,Social Media Marketer","Starter,Switcher",Considering,Long Explainer
marketing strategy ,CA,Marketing Strategy: What It Is and How to Create One,Requires Edits,2024-03-25,https://www.coursera.org/ca/articles/marketing-strategy,Izea,Business,Marketing,Marketing Analyst,"Starter,Switcher",Current,Long Explainer
data science podcasts,US,17 Data Science Podcasts to Listen to in 2026,Published,2021-06-30,https://www.coursera.org/articles/data-science-podcasts,Lydia,Data,"Data Science,AI and Machine Learning","Data Scientist,Data Analyst,Machine Learning Engineer","Starter,Switcher,Advancer","Considering,Current",Resources
work breakdown structure,GB,"Work Breakdown Structure (WBS): An Overview, Uses, Software",Published,2024-05-08,https://www.coursera.org/gb/articles/work-breakdown-structure,Izea,Business,Leadership and Management,Project Manager,Advancer,Current,Resources
data analyst salary,IN,How Much Do Data Analysts Make? 2026 Salary Guide,Published,2023-05-23,https://www.coursera.org/in/articles/how-much-do-data-analysts-make-salary-guide,Izea,Data,Data Analytics,Data Analyst,"Starter,Switcher",Considering,Salary Guide
scrum master interview questions,GB,13 Scrum Master Interview Questions and Answers,Published,2022-11-10,https://www.coursera.org/gb/articles/scrum-master-interview-questions-and-answers,Izea,Business,Leadership and Management,"Project Manager,Interviews","Starter,Switcher",Applying,Interview Questions
business marketing,GB,A Guide to Small Business Marketing,Published,2023-08-28,https://www.coursera.org/gb/articles/business-marketing,Izea,Business,Marketing,"Digital Marketer,Marketing Analyst","Starter,Switcher",Considering,Long Explainer
machine learning algorithms,IN,10 Machine Learning Algorithms to Know in 2026,Published,2024-09-23,https://www.coursera.org/in/articles/machine-learning-algorithms,Izea,Data,AI and Machine Learning,"Machine Learning Engineer,Data Scientist","Starter,Switcher","Considering,Current",Long Explainer
data analyst skills,GB,7 In-Demand Data Analyst Skills to Get You Hired in 2026,Published,2023-08-16,https://www.coursera.org/gb/articles/in-demand-data-analyst-skills-to-get-hired,Izea,Data,"Data Analytics,Skills","Data Analyst,Job Skills","Starter,Switcher",Considering,Skills
tax advisor ,CA,"What Is a Tax Advisor? Duties, Pay, and How to Become One",Published,2023-09-12,https://www.coursera.org/ca/articles/tax-advisor,Izea,Business,Finance,"Accountant,Tax Specialist","Starter,Switcher","Considering,Applying",Career Overview
small business accounting ,CA,Your Guide to Small Business Accounting,Requires Edits,2024-03-25,https://www.coursera.org/ca/articles/small-business-accounting,Izea,Business,Finance,Accountant,Starter,Current,Long Explainer
promotional marketing,GB,What Is Promotional Marketing? Your Guide to Getting Started,Published,2024-05-08,https://www.coursera.org/gb/articles/promotional-marketing,Izea,Business,Marketing,"Digital Marketer,Social Media Marketer","Starter,Switcher","Considering,Current",Long Explainer
data architect,IN,What Does a Data Architect Do? A Career Guide,Published,2023-05-18,https://www.coursera.org/in/articles/data-architect,Izea,Data,Data Engineering,,"Starter,Switcher",Considering,Career Overview
how to become a data analyst,IN,How to Become a Data Analyst (With or Without a Degree),Published,2023-06-07,https://www.coursera.org/in/articles/how-to-become-a-data-analyst,Izea,Data,Data Analytics,Data Analyst,"Starter,Switcher",Considering,How to (Jobs)
data architect,GB,What Does a Data Architect Do? A Career Guide,Published,2023-08-16,https://www.coursera.org/gb/articles/data-architect,Izea,Data,Data Engineering,Data Engineer,"Starter,Switcher",Considering,Career Overview
difference between dbms and rdbms,IN,What Is the Difference Between DBMS and RDBMS?,Published,2023-11-10,https://www.coursera.org/in/articles/difference-between-dbms-and-rdbms,Izea,Data,"Data Engineering,Data Analytics","Data Analyst,Data Engineer","Starter,Switcher",Considering,Comparison
types of data mining,IN,What Are the Types of Data Mining and How to Start a Career?,Published,2024-03-07,https://www.coursera.org/in/articles/types-of-data-mining,Izea,Data,"Data Science,Data Engineering","Data Scientist,Data Engineer","Starter,Advancer",Considering,Career Path
sales management,IN,"What Is Sales Management: Definition, Scope, Objectives, Careers?",Published,2023-11-20,https://www.coursera.org/in/articles/sales-management,Izea,Business,Sales,"Sales Development Representative,Sales Operations Specialist","Starter,Switcher",Considering,Long Explainer
financial analyst,GB,What Does a Financial Analyst Do?,Published,2024-05-08,https://www.coursera.org/gb/articles/financial-analyst,Izea,Business,Finance,Business Analyst,"Starter,Switcher",Considering,Career Overview
production management,GB,What Is Production Management and Its Jobs,Published,2025-02-03,https://www.coursera.org/gb/articles/production-management,Izea,Business,Leadership and Management,Product Manager,"Starter,Switcher",Considering,Career Path
types of project management,GB,"Types of Project Management: Approaches, Industries, and Personalities",Published,2022-11-10,https://www.coursera.org/gb/articles/types-of-project-management,Izea,Business,Leadership and Management,Project Manager,"Switcher,Starter",Considering,Long Explainer
side hustle,GB,21 Side Hustle Ideas and How to Get Started,Published,2024-12-04,https://www.coursera.org/gb/articles/side-hustle,Izea,Business,Entrepreneurship,Entrepreneur,"Starter,Switcher",Considering,Career Options
surgical technologist,US,"Surgical Technologist: Job, Career Path, Salary, and More",Updates Assigned,2022-07-27,https://www.coursera.org/articles/surgical-technologist,Izea,Health,"Patient Care,Public Health,Leadership and Management",Community Health Worker,"Starter,Switcher",Considering,Career Overview
product manager,GB,What Are Product Managers? How Do You Begin A Career?,Published,2022-11-29,https://www.coursera.org/gb/articles/what-does-a-product-manager-do,Izea,Business,Leadership and Management,Product Manager,"Starter,Switcher",Considering,Career Overview
marketing coordinator,GB,What Does a Marketing Coordinator Do?,Published,2023-08-28,https://www.coursera.org/gb/articles/marketing-coordinator,Izea,Business,Marketing,,"Starter,Switcher",Considering,Career Overview
resource management,IN,"What Is Resource Management? Types, Importance, Stages, Careers",Published,2024-02-14,https://www.coursera.org/in/articles/resource-management,Izea,Business,Leadership and Management,"Human Resources Specialist,Business Systems Analyst","Starter,Switcher",Considering,Long Explainer
financial analyst,IN,What Does a Financial Analyst Do?,Published,2023-11-06,https://www.coursera.org/in/articles/financial-analyst,Izea,Business,Finance,,"Starter,Switcher",Considering,Career Overview
lead generation ,CA,What Is Lead Generation? And How to Get Started,Requires Edits,2024-03-25,https://www.coursera.org/ca/articles/lead-generation,Izea,Business,Sales,"Sales Representative,Sales Analyst,Sales Development Representative,Sales Operations Specialist","Starter,Switcher",Considering,Long Explainer
db2,CA,"Introduction to Db2: Definition, Features, and More",Published,2024-02-21,https://www.coursera.org/ca/articles/db2,Izea,Data,"Data Engineering,Data Basics","Data Analyst,Data Engineer,Data Scientist","Starter,Switcher",Considering,Long Explainer
hr consultant,GB,"How to Become an HR Consultant: Jobs, Salaries, Courses",Published,2024-05-09,https://www.coursera.org/gb/articles/hr-consultant,Izea,Business,Leadership and Management,Human Resources Specialist,"Starter,Switcher",Considering,How to (Jobs)
what is hr,IN,What Is HR?,Published,2023-10-18,https://www.coursera.org/in/articles/what-is-hr,Izea,Business,Leadership and Management,Human Resources Specialist,"Starter,Switcher",Considering,Career Overview
brand strategy ,CA,What Is a Brand Strategy? And How to Create One,Published,2024-02-21,https://www.coursera.org/ca/articles/brand-strategy,Izea,Business,Marketing,"Marketing Analyst,Digital Marketer","Starter,Switcher",Considering,Long Explainer
customer success manager,GB,What Does a Customer Success Manager Do? Your Guide,Published,2024-05-10,https://www.coursera.org/gb/articles/customer-success-manager,Izea,Business,"Sales,Leadership and Management",Customer Service Representative,"Starter,Switcher,Advancer","Considering,Current",Career Overview
microsoft excel certification,GB,How to Earn a Microsoft Excel Certification (+ Why You Should),Published,2025-02-12,https://www.coursera.org/gb/articles/microsoft-excel-certification,Izea,Data,Data Analytics,Data Analyst,"Starter,Switcher","Considering,Applying",Certification
sales associate,IN,What Is a Sales Associate? (And How Do I Become One?),Published,2024-03-02,https://www.coursera.org/in/articles/sales-associate,Izea,Business,Sales,"Associate,Sales Analyst","Starter,Switcher",Considering,Career Overview
brand equity,GB,What Is Brand Equity? (+ How to Build It),Published,2023-08-29,https://www.coursera.org/gb/articles/brand-equity,Izea,Business,Marketing,Digital Marketer,"Starter,Switcher",Considering,Long Explainer
capm certification,GB,What Is CAPM Certification? Criteria and Prospects,Published,2022-11-10,https://www.coursera.org/gb/articles/capm-certification-guide,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Applying",Certification
hubspot certification,IN,How to Get a HubSpot Certification? (Guide + Benefits),Published,2024-03-06,https://www.coursera.org/in/articles/hubspot-certification,Izea,Business,Marketing,"Digital Marketer,Sales Analyst,Customer Service Representative",Starter,"Considering,Applying",Certification
interview questions for managers ,CA,Common Interview Questions for Managers and Tips to Prepare,Published,2024-02-21,https://www.coursera.org/ca/articles/interview-questions-for-managers,Izea,Business,Leadership and Management,"Human Resources Specialist,Interviews","Advancer,Switcher",Considering,Interview Questions
operations management,GB,Operations Management: What Is It and Why Does It Matter?,Published,2024-05-09,https://www.coursera.org/gb/articles/operations-management,Izea,Business,Leadership and Management,,Advancer,Current,Long Explainer
data warehouse,IN,"What Is a Data Warehouse? Definition, Concepts, and Benefits",Published,2023-11-10,https://www.coursera.org/in/articles/data-warehouse,Izea,Data,Data Engineering,Data Engineer,"Starter,Switcher",Considering,Long Explainer
data analyst,US,What Does a Data Analyst Do? Your 2026 Career Guide,Published,2021-11-18,https://www.coursera.org/articles/what-does-a-data-analyst-do-a-career-guide,Amber,Data,Data Analytics,Data Analyst,"Starter,Switcher",Considering,Career Overview
data encryption standard,IN,Data Encryption Standard: Concept and Modes of Operations,Published,2024-05-02,https://www.coursera.org/in/articles/data-encryption-standard,Izea,Data,Data Science,Data Engineer,Starter,Considering,Long Explainer
sales vs marketing,IN,Sales vs. Marketing: What's the Difference?,Published,2023-06-02,https://www.coursera.org/in/articles/marketing-vs-sales,Izea,Business,"Marketing,Sales",,Starter,Considering,Comparison
management skills,GB,9 Key Management Skills: How to Show Them on Your CV,Published,2024-05-10,https://www.coursera.org/gb/articles/management-skills-for-resume,Izea,Business,"Leadership and Management,Skills",Skills by Role,"Switcher,Advancer",Considering,Skills
customer segmentation,IN,What Is Customer Segmentation? And How to Reach Customer Segments?,Published,2024-03-06,https://www.coursera.org/in/articles/customer-segmentation,Izea,Business,Marketing,Choosing a Career,"Starter,Switcher",Considering,Long Explainer
medical technologist salary,US,Medical Technologist Salary Guide,Published,2024-12-02,https://www.coursera.org/articles/medical-technologist-salary,Izea,Health,Patient Care,,"Starter,Switcher",Considering,Salary Guide
customer service skills,IN,10 Customer Service Skills for Success in Any Job,Published,2024-02-28,https://www.coursera.org/in/articles/customer-service-skills,Izea,Business,Sales,Skills by Role,Starter,Considering,Skills
project manager salary,GB,Project Manager Salary: Your 2026 Guide,Published,2022-11-10,https://www.coursera.org/gb/articles/project-manager-salary,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Salary Guide
agile interview questions,IN,10 Agile Interview Questions (And Answers) to Master Before Your Interview,Requires Edits,2025-02-04,https://www.coursera.org/in/articles/agile-interview-questions,Izea,Business,Leadership and Management,"Project Manager,Product Manager,Interviews","Starter,Switcher,Advancer","Considering,Current",Interview Questions
agile project management,US,Agile Project Management: What Is It and When to Use It,Killed,2023-03-13,https://www.coursera.org/articles/agile-project-management,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Current",Long Explainer
employee relations ,CA,What Is Employee relations? Definition + Career Guide,Requires Edits,2024-03-25,https://www.coursera.org/ca/articles/employee-relations,Izea,Business,Leadership and Management,Human Resources Specialist,"Starter,Switcher",Considering,Career Path
human resource management,IN,What Is Human Resource Management? Definition + Career Guide,Published,2023-11-08,https://www.coursera.org/in/articles/human-resource-management,Izea,Business,Leadership and Management,"Human Resources Specialist,Project Manager","Starter,Switcher","Considering,Applying",Career Overview
what is data analysis ,CA,What Is Data Analysis? (With Examples),Requires Edits,2024-04-01,https://www.coursera.org/ca/articles/what-is-data-analysis-with-examples,Izea,Data,Data Analytics,Data Analyst,Starter,Considering,Long Explainer
interview questions for managers,IN,Common Interview Questions for Managers and Tips to Prepare,Published,2024-03-01,https://www.coursera.org/in/articles/interview-questions-for-managers,Izea,Business,Leadership and Management,Interviews,"Switcher,Advancer",Considering,Interview Questions
guerrilla marketing,IN,What Is Guerilla Marketing? 4 Types and Examples to Delight Consumers,Published,2023-06-07,https://www.coursera.org/in/articles/guerrilla-marketing,Izea,Business,Marketing,,"Starter,Switcher",Considering,Long Explainer
management concepts,IN,Management Concepts Every Aspiring Manager Should Know (2026),Published,2024-02-16,https://www.coursera.org/in/articles/management-concepts,Izea,Business,Leadership and Management,Project Manager,"Advancer,Switcher","Considering,Current",Long Explainer
agile certification,GB,6 Popular Agile Certifications for 2026,Published,2022-11-10,https://www.coursera.org/gb/articles/popular-agile-certifications,Izea,Business,Leadership and Management,Project Manager,"Switcher,Advancer","Applying,Current",Certification
how to create a facebook business page,GB,How to Create a Facebook Business Page: Step-By-Step Guide,Published,2024-05-13,https://www.coursera.org/gb/articles/how-to-create-a-facebook-business-page,Izea,Business,Marketing,Social Media Marketer,Starter,Considering,How to (General)
machine learning algorithms,GB,7 Machine Learning Algorithms to Know: A Beginner's Guide,Published,2024-05-17,https://www.coursera.org/gb/articles/machine-learning-algorithms,Izea,Data,AI and Machine Learning,Data Analyst,"Starter,Switcher,Advancer","Considering,Current",Resources
talent management,GB,What Is Talent Management? 2026 Career Guide,Published,2024-05-17,https://www.coursera.org/gb/articles/talent-management,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Long Explainer
digital marketing interview questions,IN,9 Digital Marketing Interview Questions and How to Answer Them,Published,2024-03-04,https://www.coursera.org/in/articles/digital-marketing-interview-questions,Izea,Business,Marketing,Interviews,"Starter,Advancer,Switcher",Applying,Interview Questions
what is mba,GB,What Is an MBA Degree? Is It Right for You?,Published,2022-11-15,https://www.coursera.org/gb/articles/what-is-mba-degree,Izea,Degrees,"Degrees by Level,Degrees by Topic","Master's,Business Degrees","Switcher,Advancer",Considering,
ecommerce website ,CA,How to Create a User-Friendly E-Commerce Website,Requires Edits,2024-04-08,https://www.coursera.org/ca/articles/ecommerce-website,Izea,Business,Marketing,Digital Marketer,"Starter,Advancer","Considering,Current",How to (General)
cpa ,CA,What Is a CPA and How Do I Become One?,Requires Edits,2024-04-09,https://www.coursera.org/ca/articles/cpa,Izea,Business,Finance,Accountant,Starter,Considering,Career Overview
hospitality management,IN,"What Is Hospitality Management? Careers, Skills, Salaries, and More",Published,2024-02-13,https://www.coursera.org/in/articles/hospitality-management,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Career Overview
construction project management,IN,Guide to Construction Project Management,Published,2024-04-25,https://www.coursera.org/in/articles/construction-project-management,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Career Overview
data lake vs data warehouse,GB,Data Lake vs. Data Warehouse: What’s the Difference?,Published,2024-05-17,https://www.coursera.org/gb/articles/data-lake-vs-data-warehouse,Izea,Data,Data Science,Data Warehouse Developer,"Starter,Switcher",Considering,Comparison
data scientist salary,GB,Data Scientist Salary Guide: What to Expect in 2026,Published,2024-05-20,https://www.coursera.org/gb/articles/data-scientist-salary,Izea,Data,Data Science,Data Scientist,"Starter,Switcher",Considering,Salary Guide
hrbp,GB,Your Guide to Understanding the HRBP Role,Published,2024-05-20, https://www.coursera.org/gb/articles/hrbp,Izea,Business,Leadership and Management,Human Resources Specialist,Starter,Considering,Long Explainer
datatypes of python,IN,Understanding Data Types of Python With Examples,Published,2024-05-03,https://www.coursera.org/in/articles/data-types-of-python,Izea,Data,"Data Analytics,Data Engineering","Data Analyst,Data Scientist",Starter,Considering,Long Explainer
brand strategy,GB,What Is a Brand Strategy? And How to Create One,Published,2024-05-17,https://www.coursera.org/gb/articles/brand-strategy,Izea,Business,Marketing,Marketing Analyst,Advancer,Current,Long Explainer
social entrepreneurship,IN,What Is Social Entrepreneurship? A Guide,Published,2024-01-08,https://www.coursera.org/in/articles/social-entrepreneurship,Izea,Business,Entrepreneurship,Entrepreneur,"Starter,Switcher",Considering,Long Explainer
business management ,CA,"What Can I Do with a Business Management Degree? Skills, Jobs, and Courses",Requires Edits,2024-04-11,https://www.coursera.org/ca/articles/business-management,Izea,Business,Leadership and Management,,"Starter,Switcher,Advancer",Considering,Degree Overview
seo marketing,GB,What Is SEO Marketing? + How to Improve Your SEO,Published,2023-08-16,https://www.coursera.org/gb/articles/seo-marketing,Izea,Business,Marketing,Digital Marketer,"Starter,Switcher",Considering,Long Explainer
how to become a marketing manager,IN,How to Become a Marketing Manager,Published,2024-03-01,https://www.coursera.org/in/articles/how-to-become-a-marketing-manager,Izea,Business,"Marketing,Leadership and Management",Digital Marketer,"Advancer,Switcher","Considering,Applying",How to (Jobs)
